time,hour,day,dayofweek,temperature,wind_speed,demand
2015-01-01 00:00:00,0,1,3,27.6,6.3,979
2015-01-01 01:00:00,1,1,3,27.6,9.8,851
2015-01-01 02:00:00,2,1,3,27.4,9.7,784
2015-01-01 03:00:00,3,1,3,26.4,7.6,909
2015-01-01 04:00:00,4,1,3,26.6,7.4,757
2015-01-01 05:00:00,5,1,3,26.6,5.3,409
2015-01-01 06:00:00,6,1,3,26.6,8.9,212
2015-01-01 07:00:00,7,1,3,26.2,5.9,148
2015-01-01 08:00:00,8,1,3,26.2,8.0,168
2015-01-01 09:00:00,9,1,3,27.9,5.5,181
2015-01-01 10:00:00,10,1,3,29.9,8.7,209
2015-01-01 11:00:00,11,1,3,31.3,8.8,380
2015-01-01 12:00:00,12,1,3,33.5,14.5,493
2015-01-01 13:00:00,13,1,3,35.6,12.9,592
2015-01-01 14:00:00,14,1,3,37.3,11.4,697
2015-01-01 15:00:00,15,1,3,38.2,12.6,747
2015-01-01 16:00:00,16,1,3,38.7,11.1,682
2015-01-01 17:00:00,17,1,3,38.6,12.6,756
2015-01-01 18:00:00,18,1,3,38.4,10.8,835
2015-01-01 19:00:00,19,1,3,38.4,6.3,778
2015-01-01 20:00:00,20,1,3,37.6,10.0,697
2015-01-01 21:00:00,21,1,3,37.4,10.8,732
2015-01-01 22:00:00,22,1,3,37.5,10.9,670
2015-01-01 23:00:00,23,1,3,37.3,10.1,572
2015-01-02 00:00:00,0,2,4,36.4,11.2,401
2015-01-02 01:00:00,1,2,4,36.9,9.5,289
2015-01-02 02:00:00,2,2,4,36.4,9.8,197
2015-01-02 03:00:00,3,2,4,36.4,9.2,100
2015-01-02 04:00:00,4,2,4,36.4,12.4,78
2015-01-02 05:00:00,5,2,4,35.4,5.5,40
2015-01-02 06:00:00,6,2,4,35.4,10.0,79
2015-01-02 07:00:00,7,2,4,35.4,8.7,118
2015-01-02 08:00:00,8,2,4,35.6,9.8,175
2015-01-02 09:00:00,9,2,4,37.5,7.9,253
2015-01-02 10:00:00,10,2,4,38.9,11.0,327
2015-01-02 11:00:00,11,2,4,40.8,17.0,469
2015-01-02 12:00:00,12,2,4,40.3,13.2,560
2015-01-02 13:00:00,13,2,4,41.5,13.8,652
2015-01-02 14:00:00,14,2,4,42.3,10.6,746
2015-01-02 15:00:00,15,2,4,42.3,17.1,831
2015-01-02 16:00:00,16,2,4,41.9,9.8,720
2015-01-02 17:00:00,17,2,4,40.6,10.1,849
2015-01-02 18:00:00,18,2,4,39.7,8.6,1019
2015-01-02 19:00:00,19,2,4,39.5,10.7,997
2015-01-02 20:00:00,20,2,4,38.1,7.8,959
2015-01-02 21:00:00,21,2,4,37.6,5.9,960
2015-01-02 22:00:00,22,2,4,36.8,5.7,1088
2015-01-02 23:00:00,23,2,4,35.5,4.6,1159
2015-01-03 00:00:00,0,3,5,34.2,6.1,1207
2015-01-03 01:00:00,1,3,5,34.4,6.5,1147
2015-01-03 02:00:00,2,3,5,33.0,2.4,1059
2015-01-03 03:00:00,3,3,5,34.2,5.1,764
2015-01-03 04:00:00,4,3,5,34.0,5.8,383
2015-01-03 05:00:00,5,3,5,33.3,5.6,112
2015-01-03 06:00:00,6,3,5,32.7,5.9,79
2015-01-03 07:00:00,7,3,5,32.3,5.9,87
2015-01-03 08:00:00,8,3,5,33.5,9.2,142
2015-01-03 09:00:00,9,3,5,34.6,8.1,239
2015-01-03 10:00:00,10,3,5,35.7,5.7,359
2015-01-03 11:00:00,11,3,5,37.1,8.7,451
2015-01-03 12:00:00,12,3,5,38.1,7.0,680
2015-01-03 13:00:00,13,3,5,35.4,8.1,895
2015-01-03 14:00:00,14,3,5,33.9,9.0,994
2015-01-03 15:00:00,15,3,5,33.7,6.3,1036
2015-01-03 16:00:00,16,3,5,34.4,8.1,803
2015-01-03 17:00:00,17,3,5,35.5,8.3,882
2015-01-03 18:00:00,18,3,5,36.9,5.6,1019
2015-01-03 19:00:00,19,3,5,37.1,7.0,933
2015-01-03 20:00:00,20,3,5,38.4,7.3,895
2015-01-03 21:00:00,21,3,5,39.1,9.7,964
2015-01-03 22:00:00,22,3,5,39.3,10.0,965
2015-01-03 23:00:00,23,3,5,40.4,9.1,1136
2015-01-04 00:00:00,0,4,6,41.2,8.6,1259
2015-01-04 01:00:00,1,4,6,41.3,5.5,1263
2015-01-04 02:00:00,2,4,6,41.9,4.4,1123
2015-01-04 03:00:00,3,4,6,42.0,3.7,813
2015-01-04 04:00:00,4,4,6,40.9,0.0,374
2015-01-04 05:00:00,5,4,6,41.5,0.0,103
2015-01-04 06:00:00,6,4,6,44.0,5.8,85
2015-01-04 07:00:00,7,4,6,44.4,7.6,67
2015-01-04 08:00:00,8,4,6,43.8,8.3,103
2015-01-04 09:00:00,9,4,6,44.7,6.9,203
2015-01-04 10:00:00,10,4,6,45.9,6.1,300
2015-01-04 11:00:00,11,4,6,47.0,7.6,407
2015-01-04 12:00:00,12,4,6,49.9,10.2,540
2015-01-04 13:00:00,13,4,6,50.3,7.8,695
2015-01-04 14:00:00,14,4,6,50.7,8.9,690
2015-01-04 15:00:00,15,4,6,52.3,10.2,740
2015-01-04 16:00:00,16,4,6,54.1,12.7,797
2015-01-04 17:00:00,17,4,6,55.3,9.0,747
2015-01-04 18:00:00,18,4,6,55.3,7.9,736
2015-01-04 19:00:00,19,4,6,55.5,7.9,737
2015-01-04 20:00:00,20,4,6,53.2,8.0,751
2015-01-04 21:00:00,21,4,6,53.2,9.6,608
2015-01-04 22:00:00,22,4,6,52.1,12.1,495
2015-01-04 23:00:00,23,4,6,51.4,17.0,401
2015-01-05 00:00:00,0,5,0,50.1,21.4,259
2015-01-05 01:00:00,1,5,0,47.3,15.1,182
2015-01-05 02:00:00,2,5,0,46.1,24.6,134
2015-01-05 03:00:00,3,5,0,44.0,14.8,53
2015-01-05 04:00:00,4,5,0,43.1,14.4,61
2015-01-05 05:00:00,5,5,0,42.0,14.1,64
2015-01-05 06:00:00,6,5,0,40.9,18.8,164
2015-01-05 07:00:00,7,5,0,40.7,14.9,325
2015-01-05 08:00:00,8,5,0,38.8,17.9,349
2015-01-05 09:00:00,9,5,0,39.0,16.8,420
2015-01-05 10:00:00,10,5,0,38.0,14.1,342
2015-01-05 11:00:00,11,5,0,36.4,19.2,367
2015-01-05 12:00:00,12,5,0,36.3,14.3,470
2015-01-05 13:00:00,13,5,0,35.5,14.3,503
2015-01-05 14:00:00,14,5,0,36.3,23.6,515
2015-01-05 15:00:00,15,5,0,34.6,11.4,549
2015-01-05 16:00:00,16,5,0,33.2,16.9,507
2015-01-05 17:00:00,17,5,0,31.9,14.6,685
2015-01-05 18:00:00,18,5,0,29.9,15.9,864
2015-01-05 19:00:00,19,5,0,29.0,13.1,1010
2015-01-05 20:00:00,20,5,0,26.7,15.2,880
2015-01-05 21:00:00,21,5,0,25.1,8.6,873
2015-01-05 22:00:00,22,5,0,23.1,9.3,658
2015-01-05 23:00:00,23,5,0,21.8,9.5,551
2015-01-06 00:00:00,0,6,1,21.5,10.0,314
2015-01-06 01:00:00,1,6,1,20.8,11.1,160
2015-01-06 02:00:00,2,6,1,19.9,6.4,108
2015-01-06 03:00:00,3,6,1,19.9,8.8,71
2015-01-06 04:00:00,4,6,1,19.7,7.4,73
2015-01-06 05:00:00,5,6,1,19.9,5.8,74
2015-01-06 06:00:00,6,6,1,19.1,2.6,164
